name,long,lat
Acanthemblemaria aspera,-81.7166,24.47915
Acanthemblemaria aspera,-82.9688,24.59603
Acanthemblemaria aspera,-83.08224,24.6496
Acanthemblemaria aspera,-82.83008,24.62219
Acanthemblemaria aspera,-82.83304,24.64139
Acanthemblemaria aspera,-80.9431,24.6763
Acanthemblemaria aspera,-83.06023,24.68772
Acanthemblemaria aspera,-81.67674,24.49327
Acanthemblemaria aspera,-83.04174,24.70613
Acanthemblemaria aspera,-81.8442,24.45947
Acanthemblemaria aspera,-83.00996,24.65077
Acanthemblemaria aspera,-82.7836,24.71859
Acanthemblemaria aspera,-81.8543,24.45717
Acanthemblemaria aspera,-80.13427,25.41032
Acanthemblemaria aspera,-80.13862,25.41094
Acanthemblemaria aspera,-80.13244,25.40019
Acanthemblemaria aspera,-82.94478,24.60455
Acanthemblemaria aspera,-82.78432,24.65625
Acanthemblemaria aspera,-81.9163,24.4564
Acanthemblemaria aspera,-83.10296,24.64601
Acanthemblemaria aspera,-82.92491,24.69669
Acanthemblemaria aspera,-82.97822,24.60282
Acanthemblemaria aspera,-81.04663,24.64455
Acanthemblemaria aspera,-83.03769,24.61323
Acanthemblemaria aspera,-83.05814,24.67996
Acanthemblemaria aspera,-81.71051,24.48589
Acanthemblemaria aspera,-81.69464,24.5012
Acanthemblemaria aspera,-82.7837,24.66403
Acanthemblemaria aspera,-80.97561,24.6928
Acanthemblemaria aspera,-80.16372,25.40432
Acanthemblemaria aspera,-81.07075,24.66586
Acanthemblemaria aspera,-82.78432,24.65625
Acanthemblemaria aspera,-83.01419,24.66104
Acanthemblemaria aspera,-82.83918,24.64297
Acanthemblemaria aspera,-82.92964,24.66704
Acanthemblemaria aspera,-81.73291,24.4982
Acanthemblemaria aspera,-82.819820000000007,24.62635
Acanthemblemaria aspera,-82.94604,24.60071
Acanthemblemaria aspera,-82.88503,24.6875
Acanthemblemaria aspera,-80.13872,25.41124
Acanthemblemaria aspera,-81.97175,24.44646
Acanthemblemaria aspera,-83.08631,24.65168
Acanthemblemaria aspera,-82.7837,24.66403
Acanthemblemaria aspera,-83.03531,24.70221
Acanthemblemaria aspera,-81.40171,24.59774
Acanthemblemaria aspera,-81.92225,24.45572
Acanthemblemaria aspera,-80.15301,25.4124
Acanthemblemaria aspera,-80.13268,25.40112
Acanthemblemaria aspera,-83.10295,24.63482
Acanthemblemaria aspera,-82.01081,24.48119
Acanthemblemaria aspera,-83.03518,24.61279
Acanthemblemaria aspera,-83.0238,24.65021
