name,long,lat
Ursus americanus,-117.978287,34.156125
Ursus americanus,-111.857761,45.817737
Ursus americanus,-111.074761,45.57508
Ursus americanus,-113.964683,46.913637
Ursus americanus,-113.959533,46.92827
Ursus americanus,-118.651505,34.923212
Ursus americanus,-106.79511,37.17984
Ursus americanus,-120.375386,38.034317
Ursus americanus,-118.736488,36.6079
Ursus americanus,-121.058435,48.467722
Ursus americanus,-105.074364,39.442207
Ursus americanus,-118.071494,36.225109
Ursus americanus,-119.1462,34.559
Ursus americanus,-113.969437,46.903633
Ursus americanus,-122.436043,40.592856
Ursus americanus,-109.364323,32.00801
Ursus americanus,-119.599727,37.736617
Ursus americanus,-113.968628,46.909345
Ursus americanus,-110.724768,43.597718
Ursus americanus,-106.337183,35.647458
Ursus americanus,-123.299344,38.564118
Ursus americanus,-119.25057,37.854746
Ursus americanus,-124.04897,41.522812
Ursus americanus,-117.978172,34.156189
Ursus americanus,-113.963303,46.913928
Ursus americanus,-110.877319,33.345339
Ursus americanus,-120.686863,47.349796
Ursus americanus,-119.136755,37.692997
Ursus americanus,-110.74193,43.653104
Ursus americanus,-114.050111,47.731788
Ursus americanus,-120.129097,34.477558
Ursus americanus,-110.403988,44.919819
Ursus americanus,-113.96844,46.904719
Ursus americanus,-119.25173,37.931233
Ursus americanus,-119.782578,38.554255
Ursus americanus,-121.736466,46.787505
Ursus americanus,-120.143044,39.164303
Ursus americanus,-113.96212,46.892933
Ursus americanus,-110.714391,43.655377
Ursus americanus,-122.849043,40.709717
Ursus americanus,-119.132636,34.45527
Ursus americanus,-120.259009,47.701171
Ursus americanus,-125.562904,48.967403
Ursus americanus,-118.86235,34.484467
Ursus americanus,-117.978242,34.156197
Ursus americanus,-119.551842,37.321365
Ursus americanus,-118.855387,36.493637
Ursus americanus,-121.736328,46.787422
Ursus americanus,-123.712205,48.430199
Ursus americanus,-105.233574,40.158827
Ursus americanus,-110.72512,43.651231
Ursus americanus,-116.079765,45.455519
Ursus americanus,-120.002216,38.648437
Ursus americanus,-119.158767,34.55963
Ursus americanus,-119.290505,37.958492
Ursus americanus,-110.790107,43.606901
Ursus americanus,-117.97821,34.156119
Ursus americanus,-107.084162,44.623294
Ursus americanus,-118.817612,36.369462
Ursus americanus,-119.358772,34.688258
Ursus americanus,-106.373292,35.159828
Ursus americanus,-119.873885,39.330294
Ursus americanus,-122.320184,41.329725
Ursus americanus,-120.055764,38.93323
Ursus americanus,-106.354845,35.103133
Ursus americanus,-119.073362,38.113799
Ursus americanus,-119.376394,38.120274
Ursus americanus,-119.558052,37.741665
Ursus americanus,-109.480653,32.896493
Ursus americanus,-119.946787,38.939463
Ursus americanus,-110.663173,44.948823
Ursus americanus,-123.759729,48.404367
Ursus americanus,-118.732605,36.33428
Ursus americanus,-123.167738,49.711472
Ursus americanus,-117.865339,34.136119
Ursus americanus,-122.247471,38.955635
Ursus americanus,-121.177638,47.719748
Ursus americanus,-114.872098,48.693511
Ursus americanus,-124.057172,40.793028
Ursus americanus,-110.572543,43.892109
Ursus americanus,-122.068462,47.72645
Ursus americanus,-106.804715,40.454181
Ursus americanus,-120.24865,48.439522
Ursus americanus,-117.978012,34.156095
Ursus americanus,-110.327643,44.911428
Ursus americanus,-108.536315,32.648476
Ursus americanus,-122.699882,49.29541
Ursus americanus,-110.315828,44.93187
Ursus americanus,-108.558692,34.184445
Ursus americanus,-105.062233,39.409713000000004
Ursus americanus,-123.296667,42.925556
Ursus americanus,-125.040035,49.651508
Ursus americanus,-119.881897,37.570797
Ursus americanus,-120.24156,39.342897
Ursus americanus,-110.560806,44.620142
Ursus americanus,-123.299722,42.924722
Ursus americanus,-118.021553,34.177519
Ursus americanus,-120.283595,48.522455
Ursus americanus,-110.38015,44.911488
Ursus americanus,-120.869305,49.116755
Ursus americanus,-108.536986,32.650435
Ursus americanus,-110.666643,44.135148
Ursus americanus,-110.43116,44.922498
Ursus americanus,-121.201847,39.319753
Ursus americanus,-117.599503,49.434037
Ursus americanus,-110.735863,44.77533
Ursus americanus,-123.112836,49.747057
Ursus americanus,-125.765991,49.183499
Ursus americanus,-110.448275,44.941
Ursus americanus,-118.696111,34.9475
Ursus americanus,-113.568336,34.606667
Ursus americanus,-122.90681,43.4178
Ursus americanus,-124.862652,49.879576
