Herbarium accession sheet,Species,Flower number,Corolla length (cm),Corolla width throat (cm),Mean corolla length (cm),Standard Deviation corolla length (cm),Mean corolla width (cm),Standard deviation  corolla width (cm),Length width ratio
Gilia achilleifolia ssp multicaulis KSC0126322,Gilia achilleifolia ssp multicaulis,2,0.995,0.4,,,,,
Gilia achilleifolia ssp multicaulis KSC0126322,Gilia achilleifolia ssp multicaulis,3,0.843,0.284,,,,,
,Gilia achilleifolia ssp multicaulis,,,,0.770833333,0.107299778,0.261833333,0.06365794,2.943984723
Gilia aliquanta MO05091925,Gilia aliquanta,1,1.4,0.251,,,,,
Gilia aliquanta MO05091925,Gilia aliquanta,2,1.419,0.226,,,,,
Gilia aliquanta MO05091925,Gilia aliquanta,3,1.219,0.18,,,,,
Gilia aliquanta MO05091926,Gilia aliquanta,1,1.198,0.292,,,,,
Gilia aliquanta MO05091926,Gilia aliquanta,2,1.127,0.354,,,,,
Gilia aliquanta MO05091926,Gilia aliquanta,3,1.127,0.31,,,,,
Gilia aliquanta MO2985153,Gilia aliquanta,1,1.004,0.255,,,,,
Gilia aliquanta MO2985153,Gilia aliquanta,2,1.031,0.23,,,,,
Gilia aliquanta MO2985153,Gilia aliquanta,3,0.823,0.392,,,,,
,Gilia aliquanta,,,,1.149777778,0.188874812,0.276666667,0.066938405,4.155823293
Gilia angelensis FLAS103491,Gilia angelensis,1,0.804,0.375,,,,,
Gilia angelensis FLAS103491,Gilia angelensis,2,0.795,0.321,,,,,
Gilia angelensis FLAS103491,Gilia angelensis,3,0.703,0.282,,,,,
Gilia angelensis FLAS124815,Gilia angelensis,1,0.908,0.26,,,,,
Gilia angelensis FLAS124815,Gilia angelensis,2,0.728,0.314,,,,,
Gilia angelensis FLAS124815,Gilia angelensis,3,0.566,0.193,,,,,
Gilia angelensis KANU00237600,Gilia angelensis,1,0.763,0.293,,,,,
Gilia angelensis KANU00237600,Gilia angelensis,2,0.889,0.231,,,,,
Gilia angelensis KANU00237600,Gilia angelensis,3,0.574,0.287,,,,,
Gilia angelensis KANU352958,Gilia angelensis,1,0.941,0.298,,,,,
Gilia angelensis KANU352958,Gilia angelensis,2,0.679,0.155,,,,,
Gilia angelensis KANU352958,Gilia angelensis,3,0.796,0.16,,,,,
,Gilia angelensis,,,,0.762166667,0.120144484,0.264083333,0.067259955,2.886083938
Gilia austrooccidentalis RSABG761527,Gilia austrooccidentalis,1,0.533,0.139,,,,,
Gilia austrooccidentalis RSABG761527,Gilia austrooccidentalis,2,0.517,0.109,,,,,
Gilia austrooccidentalis RSABG761527,Gilia austrooccidentalis,3,0.715,0.129,,,,,
Gilia austrooccidentalis RSABG761740,Gilia austrooccidentalis,1,0.605,0.182,,,,,
Gilia austrooccidentalis RSABG761740,Gilia austrooccidentalis,2,0.57,0.127,,,,,
Gilia austrooccidentalis RSABG761740,Gilia austrooccidentalis,3,0.818,0.134,,,,,
,Gilia austrooccidentalis,,,,0.626333333,0.117380862,0.136666667,0.024434948,4.582926829
Gilia brecciarum ssp argusana RSABG705187,Gilia brecciarum ssp argusana,1,1.027,0.298,,,,,
Gilia brecciarum ssp argusana RSABG705187,Gilia brecciarum ssp argusana,2,1.231,0.293,,,,,
Gilia brecciarum ssp argusana RSABG705187,Gilia brecciarum ssp argusana,3,1.22,0.253,,,,,
Gilia brecciarum ssp argusana RSABG705652,Gilia brecciarum ssp argusana,1,0.988,0.229,,,,,
Gilia brecciarum ssp argusana RSABG705652,Gilia brecciarum ssp argusana,2,1.025,0.274,,,,,
Gilia brecciarum ssp argusana RSABG705652,Gilia brecciarum ssp argusana,3,1.063,0.229,,,,,
,Gilia brecciarum ssp argusana,,,,1.092333333,0.105901212,0.262666667,0.030519939,4.158629442
Gilia brecciarum ssp brecciarum KANU365722,Gilia brecciarum ssp brecciarum,1,1.08,0.226,,,,,
Gilia brecciarum ssp brecciarum KANU365722,Gilia brecciarum ssp brecciarum,2,0.835,0.224,,,,,
Gilia brecciarum ssp brecciarum KANU365722,Gilia brecciarum ssp brecciarum,3,0.772,0.231,,,,,
Gilia brecciarum ssp brecciarum KANU365723,Gilia brecciarum ssp brecciarum,1,0.823,0.2,,,,,
Gilia brecciarum ssp brecciarum KANU365723,Gilia brecciarum ssp brecciarum,2,0.985,0.317,,,,,
Gilia brecciarum ssp brecciarum KANU365723,Gilia brecciarum ssp brecciarum,3,1.084,0.268,,,,,
Gilia brecciarum ssp brecciarum RSABG658998,Gilia brecciarum ssp brecciarum,1,0.895,0.29,,,,,
Gilia brecciarum ssp brecciarum RSABG658998,Gilia brecciarum ssp brecciarum,2,0.881,0.321,,,,,
Gilia brecciarum ssp brecciarum RSABG658998,Gilia brecciarum ssp brecciarum,3,0.842,0.234,,,,,
Gilia brecciarum ssp brecciarum RSABG780314,Gilia brecciarum ssp brecciarum,1,0.929,0.264,,,,,
Gilia brecciarum ssp brecciarum RSABG780314,Gilia brecciarum ssp brecciarum,2,0.912,0.272,,,,,
Gilia brecciarum ssp brecciarum RSABG780314,Gilia brecciarum ssp brecciarum,3,0.71,0.241,,,,,
,Gilia brecciarum ssp brecciarum,,,,0.895666667,0.113068228,0.257333333,0.038065335,3.480569948
Gilia brecciarum ssp jacens RSABG737709,Gilia brecciarum ssp jacens,1,1.184,0.28,,,,,
Gilia brecciarum ssp jacens RSABG737709,Gilia brecciarum ssp jacens,2,0.842,0.166,,,,,
Gilia brecciarum ssp jacens RSABG737709,Gilia brecciarum ssp jacens,3,0.752,0.166,,,,,
Gilia brecciarum ssp jacens RSABG746492,Gilia brecciarum ssp jacens,1,0.866,0.267,,,,,
Gilia brecciarum ssp jacens RSABG746492,Gilia brecciarum ssp jacens,2,1.084,0.174,,,,,
Gilia brecciarum ssp jacens RSABG746492,Gilia brecciarum ssp jacens,3,0.735,0.189,,,,,
,Gilia brecciarum ssp jacens,,,,0.9105,0.183029779,0.207,0.05235265,4.398550725
Gilia brecciarum ssp neglecta MO2985135,Gilia brecciarum ssp neglecta,1,1.309,0.255,,,,,
Gilia brecciarum ssp neglecta MO2985135,Gilia brecciarum ssp neglecta,2,1.121,0.506,,,,,
Gilia brecciarum ssp neglecta MO2985135,Gilia brecciarum ssp neglecta,3,1.397,0.529,,,,,
Gilia brecciarum ssp neglecta MO2985148,Gilia brecciarum ssp neglecta,1,1.045,0.458,,,,,
Gilia brecciarum ssp neglecta MO2985148,Gilia brecciarum ssp neglecta,2,1.542,0.496,,,,,
Gilia brecciarum ssp neglecta MO2985148,Gilia brecciarum ssp neglecta,3,1.481,0.358,,,,,
Gilia brecciarum ssp neglecta MO3207345,Gilia brecciarum ssp neglecta,1,0.991,0.309,,,,,
Gilia brecciarum ssp neglecta MO3207345,Gilia brecciarum ssp neglecta,2,1.319,0.405,,,,,
Gilia brecciarum ssp neglecta MO3207345,Gilia brecciarum ssp neglecta,3,1.128,0.316,,,,,
,Gilia brecciarum ssp neglecta,,,,1.259222222,0.196322934,0.403555556,0.099054418,3.120319383
Gilia cana KANU00237606,Gilia cana,1,1.802,0.261,,,,,
Gilia cana KANU00237606,Gilia cana,2,1.508,0.235,,,,,
Gilia cana KANU00237606,Gilia cana,3,1.854,0.296,,,,,
Gilia cana KSC0126225,Gilia cana,1,1.857,0.469,,,,,
Gilia cana KSC0126225,Gilia cana,2,1.901,0.493,,,,,
Gilia cana KSC0126225,Gilia cana,3,1.523,0.455,,,,,
,Gilia cana,,,,1.740833333,0.177402837,0.368166667,0.116375971,4.728383884
Gilia cana ssp speciformis KANU363503,Gilia cana ssp speciformis,1,1.875,0.322,,,,,
Gilia cana ssp speciformis KANU363503,Gilia cana ssp speciformis,2,1.855,0.388,,,,,
Gilia cana ssp speciformis KANU363503,Gilia cana ssp speciformis,3,2.099,0.433,,,,,
Gilia cana ssp speciformis KANU363670,Gilia cana ssp speciformis,1,1.892,0.48,,,,,
Gilia cana ssp speciformis KANU363670,Gilia cana ssp speciformis,2,2.022,0.327,,,,,
Gilia cana ssp speciformis KANU363670,Gilia cana ssp speciformis,3,1.845,0.394,,,,,
,Gilia cana ssp speciformis,,,,1.931333333,0.104243305,0.390666667,0.060925091,4.943686007
Gilia capitata FLAS20303,Gilia capitata,1,0.478,0.149,,,,,
Gilia capitata FLAS20303,Gilia capitata,2,0.54,0.134,,,,,
Gilia capitata FLAS20303,Gilia capitata,3,0.479,0.109,,,,,
Gilia capitata FLAS55667,Gilia capitata,1,0.771,0.111,,,,,
Gilia capitata FLAS55667,Gilia capitata,2,0.802,0.12,,,,,
Gilia capitata FLAS55667,Gilia capitata,3,0.885,0.089,,,,,
Gilia capitata FLAS55668,Gilia capitata,1,0.625,0.117,,,,,
Gilia capitata FLAS55668,Gilia capitata,2,0.582,0.137,,,,,
Gilia capitata FLAS55668,Gilia capitata,3,0.479,0.131,,,,,
Gilia capitata KANU00237624,Gilia capitata,1,0.52,0.146,,,,,
Gilia capitata KANU00237624,Gilia capitata,2,0.47,0.172,,,,,
Gilia capitata KANU00237624,Gilia capitata,3,0.433,0.168,,,,,
Gilia capitata KANU365398,Gilia capitata,1,0.734,0.223,,,,,
Gilia capitata KANU365398,Gilia capitata,2,0.643,0.207,,,,,
Gilia capitata KANU365398,Gilia capitata,3,0.553,0.168,,,,,
Gilia capitata KANU365398 flowers,Gilia capitata,1,0.66,0.322,,,,,
Gilia capitata KANU365398 flowers,Gilia capitata,2,0.639,0.16,,,,,
Gilia capitata KANU365398 flowers,Gilia capitata,3,0.705,0.182,,,,,
Gilia capitata KSC0126215,Gilia capitata,1,0.911,0.242,,,,,
Gilia capitata KSC0126215,Gilia capitata,2,0.668,0.28,,,,,
Gilia capitata KSC0126215,Gilia capitata,3,0.793,0.256,,,,,
Gilia capitata KSC0126218,Gilia capitata,1,0.654,0.281,,,,,
Gilia capitata KSC0126218,Gilia capitata,2,0.767,0.207,,,,,
Gilia capitata KSC0126218,Gilia capitata,3,0.682,0.284,,,,,
,Gilia capitata,,,,0.644708333,0.134727577,0.183125,0.065529491,3.520591581
Gilia capitata ssp abrotanifolia FLAS124814,Gilia capitata ssp abrotanifolia,1,0.374,0.201,,,,,
Gilia capitata ssp abrotanifolia FLAS124814,Gilia capitata ssp abrotanifolia,2,0.484,0.176,,,,,
Gilia capitata ssp abrotanifolia FLAS124814,Gilia capitata ssp abrotanifolia,3,0.656,0.198,,,,,
Gilia capitata ssp abrotanifolia UF24814,Gilia capitata ssp abrotanifolia,1,0.473,0.229,,,,,
Gilia capitata ssp abrotanifolia UF24814,Gilia capitata ssp abrotanifolia,2,0.505,0.315,,,,,
Gilia capitata ssp abrotanifolia UF24814,Gilia capitata ssp abrotanifolia,3,0.435,0.283,,,,,
,Gilia capitata ssp abrotanifolia,,,,0.487833333,0.094402154,0.233666667,0.054286892,2.087731812
Gilia capitata ssp capitata KANU00237625,Gilia capitata ssp capitata,1,0.547,0.127,,,,,
Gilia capitata ssp capitata KANU00237625,Gilia capitata ssp capitata,2,0.459,0.129,,,,,
Gilia capitata ssp capitata KANU00237625,Gilia capitata ssp capitata,3,0.548,0.212,,,,,
,Gilia capitata ssp capitata,,,,0.518,0.051097945,0.156,0.048507731,3.320512821
Gilia capitata ssp tomentosa KANU00237632,Gilia capitata ssp tomentosa,1,0.409,0.152,,,,,
Gilia capitata ssp tomentosa KANU00237632,Gilia capitata ssp tomentosa,2,0.503,0.143,,,,,
Gilia capitata ssp tomentosa KANU00237632,Gilia capitata ssp tomentosa,3,0.586,0.128,,,,,
,Gilia capitata ssp tomentosa,,,,0.499333333,0.08855695,0.141,0.012124356,3.541371158
Gilia clivorum KANU00237635,Gilia clivorum,1,0.615,0.168,,,,,
Gilia clivorum KANU00237635,Gilia clivorum,2,0.686,0.286,,,,,
Gilia clivorum KANU00237635,Gilia clivorum,3,0.752,0.205,,,,,
Gilia clivorum KANU365951,Gilia clivorum,1,0.852,0.195,,,,,
Gilia clivorum KANU365951,Gilia clivorum,2,0.78,0.151,,,,,
Gilia clivorum KANU365951,Gilia clivorum,3,0.831,0.201,,,,,
,Gilia clivorum,,,,0.752666667,0.089607291,0.201,0.046617593,3.744610282
Gilia clokeyi KANU00237636,Gilia clokeyi,1,0.737,0.219,,,,,
Gilia clokeyi KANU00237636,Gilia clokeyi,2,0.947,0.288,,,,,
Gilia clokeyi KANU00237636,Gilia clokeyi,3,0.933,0.258,,,,,
Gilia clokeyi KANU00237637,Gilia clokeyi,1,0.536,0.191,,,,,
Gilia clokeyi KANU00237637,Gilia clokeyi,2,0.524,0.222,,,,,
Gilia clokeyi KANU00237637,Gilia clokeyi,3,0.697,0.25,,,,,
,Gilia clokeyi,,,,0.729,0.184120613,0.238,0.034263683,3.06302521
Gilia crassifolia MO2415702,Gilia crassifolia,1,0.798,0.279,,,,,
Gilia crassifolia MO2415702,Gilia crassifolia,2,0.694,0.173,,,,,
Gilia crassifolia MO2415702,Gilia crassifolia,3,0.576,0.215,,,,,
Gilia crassifolia MO6217685,Gilia crassifolia,1,0.716,0.132,,,,,
Gilia crassifolia MO6217685,Gilia crassifolia,2,0.769,0.179,,,,,
Gilia crassifolia MO6217685,Gilia crassifolia,3,0.794,0.206,,,,,
Gilia crassifolia MO910596,Gilia crassifolia,1,0.84,0.232,,,,,
Gilia crassifolia MO910596,Gilia crassifolia,2,0.823,0.222,,,,,
Gilia crassifolia MO910596,Gilia crassifolia,3,0.721,0.229,,,,,
,Gilia crassifolia,,,,0.747888889,0.081699823,0.207444444,0.042050895,3.605249063
Gilia diegensis FLAS124844,Gilia diegensis,1,1.025,0.264,,,,,
Gilia diegensis FLAS124844,Gilia diegensis,2,1.048,0.383,,,,,
Gilia diegensis FLAS124844,Gilia diegensis,3,1.05,0.251,,,,,
Gilia diegensis UF124844,Gilia diegensis,1,1.018,0.357,,,,,
Gilia diegensis UF124844,Gilia diegensis,2,1.183,0.239,,,,,
Gilia diegensis UF124844,Gilia diegensis,3,1.148,0.315,,,,,
,Gilia diegensis,,,,1.078666667,0.069304161,0.3015,0.059611241,3.577667219
Gilia flavocincta ssp australis KANU00237641,Gilia flavocincta ssp australis,1,1.031,0.215,,,,,
Gilia flavocincta ssp australis KANU00237641,Gilia flavocincta ssp australis,2,1.007,0.169,,,,,
Gilia flavocincta ssp australis KANU00237641,Gilia flavocincta ssp australis,3,1.066,0.179,,,,,
,Gilia flavocincta ssp australis,,,,1.034666667,0.029670412,0.187666667,0.024193663,5.513321492
Gilia inconspicua FLAS71466,Gilia inconspicua,1,0.756,0.231,,,,,
Gilia inconspicua FLAS71466,Gilia inconspicua,2,0.703,0.22,,,,,
Gilia inconspicua FLAS71466,Gilia inconspicua,3,0.814,0.238,,,,,
Gilia inconspicua KANU00237648,Gilia inconspicua,1,0.993,0.264,,,,,
Gilia inconspicua KANU00237648,Gilia inconspicua,2,0.861,0.217,,,,,
Gilia inconspicua KANU00237648,Gilia inconspicua,3,0.765,0.196,,,,,
Gilia inconspicua KANU354829,Gilia inconspicua,1,0.713,0.182,,,,,
Gilia inconspicua KANU354829,Gilia inconspicua,2,0.864,0.195,,,,,
Gilia inconspicua KANU354829,Gilia inconspicua,3,0.723,0.251,,,,,
Gilia inconspicua KANU354833,Gilia inconspicua,1,0.613,0.127,,,,,
Gilia inconspicua KANU354833,Gilia inconspicua,2,0.582,0.137,,,,,
Gilia inconspicua KANU354833,Gilia inconspicua,3,0.584,0.149,,,,,
Gilia inconspicua KSC0126280,Gilia inconspicua,1,0.631,0.16,,,,,
Gilia inconspicua KSC0126280,Gilia inconspicua,2,0.752,0.183,,,,,
Gilia inconspicua KSC0126280,Gilia inconspicua,3,0.71,0.151,,,,,
Gilia inconspicua KSC0126285,Gilia inconspicua,1,0.819,0.165,,,,,
Gilia inconspicua KSC0126285,Gilia inconspicua,2,0.627,0.169,,,,,
Gilia inconspicua KSC0126285,Gilia inconspicua,3,0.735,0.16,,,,,
Gilia inconspicua KSC0126288,Gilia inconspicua,1,0.359,0.202,,,,,
Gilia inconspicua KSC0126288,Gilia inconspicua,2,0.552,0.11,,,,,
Gilia inconspicua KSC0126288,Gilia inconspicua,3,0.626,0.153,,,,,
Gilia inconspicua UF71466,Gilia inconspicua,1,0.72,0.248,,,,,
Gilia inconspicua UF71466,Gilia inconspicua,2,0.801,0.255,,,,,
Gilia inconspicua UF71466,Gilia inconspicua,3,0.791,0.277,,,,,
,Gilia inconspicua,,,,0.71225,0.128857943,0.193333333,0.046920531,3.684051724
Gilia interior MO2684705,Gilia interior,1,0.697,0.193,,,,,
Gilia interior MO2684705,Gilia interior,2,0.613,0.137,,,,,
Gilia interior MO2684705,Gilia interior,3,0.667,0.179,,,,,
,Gilia interior,,,,0.659,0.042567593,0.169666667,0.029143324,3.884086444
Gilia laciniata RSABG670177,Gilia laciniata,1,1.147,0.182,,,,,
Gilia laciniata RSABG670177,Gilia laciniata,2,0.954,0.123,,,,,
Gilia laciniata RSABG670177,Gilia laciniata,3,0.658,0.09,,,,,
Gilia laciniata RSABG742105,Gilia laciniata,1,0.837,0.335,,,,,
Gilia laciniata RSABG742105,Gilia laciniata,2,0.913,0.192,,,,,
Gilia laciniata RSABG742105,Gilia laciniata,3,0.603,0.216,,,,,
,Gilia laciniata,,,,0.852,0.200505362,0.189666667,0.085155544,4.492091388
Gilia latiflora KANU00237664,Gilia latiflora,1,1.333,0.372,,,,,
Gilia latiflora KANU00237664,Gilia latiflora,2,1.147,0.353,,,,,
Gilia latiflora KANU00237664,Gilia latiflora,3,1.407,0.414,,,,,
Gilia latiflora KANU00237665,Gilia latiflora,1,1.345,0.289,,,,,
Gilia latiflora KANU00237665,Gilia latiflora,2,1.48,0.38,,,,,
Gilia latiflora KANU00237665,Gilia latiflora,3,1.264,0.359,,,,,
Gilia latiflora KANU00237670,Gilia latiflora,1,1.158,0.276,,,,,
Gilia latiflora KANU00237670,Gilia latiflora,2,1.125,0.313,,,,,
Gilia latiflora KANU00237670,Gilia latiflora,3,1.102,0.291,,,,,
,Gilia latiflora,,,,1.262333333,0.136423972,0.338555556,0.048008101,3.728585494
Gilia latiflora ssp davyi KANU00237666,Gilia latiflora ssp davyi,1,2.309,0.615,,,,,
Gilia latiflora ssp davyi KANU00237666,Gilia latiflora ssp davyi,2,2.067,0.595,,,,,
Gilia latiflora ssp davyi KANU00237666,Gilia latiflora ssp davyi,3,2.286,0.867,,,,,
Gilia latiflora ssp davyi KANU00237668,Gilia latiflora ssp davyi,1,1.519,0.479,,,,,
Gilia latiflora ssp davyi KANU00237668,Gilia latiflora ssp davyi,2,1.275,0.493,,,,,
Gilia latiflora ssp davyi KANU00237668,Gilia latiflora ssp davyi,3,1.689,0.722,,,,,
,Gilia latiflora ssp davyi,,,,1.8575,0.427465905,0.6285,0.14672389,2.955449483
Gilia latiflora ssp elongata RSABG755074,Gilia latiflora ssp elongata,1,3.797,0.725,,,,,
Gilia latiflora ssp elongata RSABG755074,Gilia latiflora ssp elongata,2,3.874,0.773,,,,,
Gilia latiflora ssp elongata RSABG755074,Gilia latiflora ssp elongata,3,3.409,0.537,,,,,
Gilia latiflora ssp elongata RSABG778358,Gilia latiflora ssp elongata,1,2.103,0.466,,,,,
Gilia latiflora ssp elongata RSABG778358,Gilia latiflora ssp elongata,2,2.25,0.543,,,,,
Gilia latiflora ssp elongata RSABG778358,Gilia latiflora ssp elongata,3,2.158,0.54,,,,,
,Gilia latiflora ssp elongata,,,,2.931833333,0.850242181,0.597333333,0.121889568,4.908203125
Gilia latiflora ssp latiflora MO2985154,Gilia latiflora ssp latiflora,1,1.393,0.36,,,,,
Gilia latiflora ssp latiflora MO2985154,Gilia latiflora ssp latiflora,2,1.344,0.372,,,,,
Gilia latiflora ssp latiflora MO2985154,Gilia latiflora ssp latiflora,3,1.372,0.436,,,,,
Gilia latiflora ssp latiflora MO3034287,Gilia latiflora ssp latiflora,1,1.607,0.498,,,,,
Gilia latiflora ssp latiflora MO3034287,Gilia latiflora ssp latiflora,2,1.916,0.329,,,,,
Gilia latiflora ssp latiflora MO3034287,Gilia latiflora ssp latiflora,3,1.814,0.559,,,,,
,Gilia latiflora ssp latiflora,,,,1.574333333,0.245811852,0.425666667,0.089054291,3.698512138
Gilia leptantha MO1971214,Gilia leptantha,1,1.241,0.432,,,,,
Gilia leptantha MO1971214,Gilia leptantha,2,1.175,0.385,,,,,
Gilia leptantha MO1971214,Gilia leptantha,3,1.081,0.378,,,,,
,Gilia leptantha,,,,1.165666667,0.080407297,0.398333333,0.029365513,2.926359833
Gilia leptantha ssp leptantha MO6197267,Gilia leptantha ssp leptantha,1,1.707,0.125,,,,,
Gilia leptantha ssp leptantha MO6197267,Gilia leptantha ssp leptantha,2,1.732,0.124,,,,,
Gilia leptantha ssp leptantha MO6197267,Gilia leptantha ssp leptantha,3,1.566,0.148,,,,,
,Gilia leptantha ssp leptantha,,,,1.668333333,0.089500466,0.132333333,0.013576941,12.6070529
Gilia leptantha ssp pinetorum RSABG470061,Gilia leptantha ssp pinetorum,1,1.433,0.498,,,,,
Gilia leptantha ssp pinetorum RSABG470061,Gilia leptantha ssp pinetorum,2,1.285,0.498,,,,,
Gilia leptantha ssp pinetorum RSABG705322,Gilia leptantha ssp pinetorum,1,1.475,0.303,,,,,
Gilia leptantha ssp pinetorum RSABG705322,Gilia leptantha ssp pinetorum,2,1.309,0.329,,,,,
Gilia leptantha ssp pinetorum RSABG705322,Gilia leptantha ssp pinetorum,3,1.236,0.292,,,,,
,Gilia leptantha ssp pinetorum,,,,1.3476,0.101719221,0.384,0.10493093,3.509375
Gilia leptantha ssp purpusii MO04580747,Gilia leptantha ssp purpusii,1,1.631,0.173,,,,,
Gilia leptantha ssp purpusii MO04580747,Gilia leptantha ssp purpusii,2,1.672,0.25,,,,,
Gilia leptantha ssp purpusii MO04580747,Gilia leptantha ssp purpusii,3,1.37,0.157,,,,,
Gilia leptantha ssp purpusii MO04595376,Gilia leptantha ssp purpusii,1,1.584,0.359,,,,,
Gilia leptantha ssp purpusii MO04595376,Gilia leptantha ssp purpusii,2,1.599,0.384,,,,,
Gilia leptantha ssp purpusii MO04595376,Gilia leptantha ssp purpusii,3,1.292,0.284,,,,,
Gilia leptantha ssp purpusii MO3229052,Gilia leptantha ssp purpusii,1,1.724,0.296,,,,,
Gilia leptantha ssp purpusii MO3229052,Gilia leptantha ssp purpusii,2,1.806,0.202,,,,,
Gilia leptantha ssp purpusii MO3229052,Gilia leptantha ssp purpusii,3,1.91,0.322,,,,,
Gilia leptantha ssp purpusii MO6189518,Gilia leptantha ssp purpusii,1,2.158,0.244,,,,,
Gilia leptantha ssp purpusii MO6189518,Gilia leptantha ssp purpusii,2,2.019,0.122,,,,,
Gilia leptantha ssp purpusii MO6189518,Gilia leptantha ssp purpusii,3,2.175,0.194,,,,,
,Gilia leptantha ssp purpusii,,,,1.745,0.281768441,0.248916667,0.082416303,7.010378306
Gilia leptantha ssp transversa RSABG690929,Gilia leptantha ssp transversa,1,1.329,0.41,,,,,
Gilia leptantha ssp transversa RSABG690929,Gilia leptantha ssp transversa,2,1.09,0.327,,,,,
Gilia leptantha ssp transversa RSABG690929,Gilia leptantha ssp transversa,3,1.474,0.31,,,,,
Gilia leptantha ssp transversa RSABG757550,Gilia leptantha ssp transversa,1,1.391,0.348,,,,,
Gilia leptantha ssp transversa RSABG757550,Gilia leptantha ssp transversa,2,1.531,0.372,,,,,
Gilia leptantha ssp transversa RSABG757550,Gilia leptantha ssp transversa,3,1.615,0.288,,,,,
,Gilia leptantha ssp transversa,,,,1.405,0.184355092,0.3425,0.044098753,4.102189781
Gilia malior KANU00329179,Gilia malior,1,0.849,0.172,,,,,
Gilia malior KANU00329179,Gilia malior,2,0.653,0.13,,,,,
Gilia malior KANU00329179,Gilia malior,3,,,,,,,
,Gilia malior,,,,0.751,0.138592929,0.151,0.029698485,4.973509934
Gilia mexicana MO2926797,Gilia mexicana,1,0.755,0.188,,,,,
Gilia mexicana MO2926797,Gilia mexicana,2,0.733,0.147,,,,,
Gilia mexicana MO2926797,Gilia mexicana,3,0.611,0.149,,,,,
,Gilia mexicana,,,,0.699666667,0.077571472,0.161333333,0.023115651,4.33677686
Gilia millefoliata KANU00237704,Gilia millefoliata,1,0.902,0.11,,,,,
Gilia millefoliata KANU00237704,Gilia millefoliata,2,0.775,0.133,,,,,
Gilia millefoliata KANU00237704,Gilia millefoliata,3,0.775,0.137,,,,,
,Gilia millefoliata,,,,0.817333333,0.073323484,0.126666667,0.014571662,6.452631579
Gilia minor KANU00237705,Gilia minor,1,0.881,0.201,,,,,
Gilia minor KANU00237705,Gilia minor,2,0.888,0.173,,,,,
Gilia minor KANU00237705,Gilia minor,3,0.895,0.184,,,,,
,Gilia minor,,,,0.888,0.007,0.186,0.014106736,4.774193548
Gilia modocensis KANU00237706,Gilia modocensis,1,0.65,0.166,,,,,
Gilia modocensis KANU00237706,Gilia modocensis,2,0.687,0.097,,,,,
Gilia modocensis KANU00237706,Gilia modocensis,3,0.723,0.146,,,,,
Gilia modocensis MO2985061,Gilia modocensis,1,0.917,0.243,,,,,
Gilia modocensis MO2985061,Gilia modocensis,2,0.872,0.163,,,,,
Gilia modocensis MO2985061,Gilia modocensis,3,0.872,0.233,,,,,
,Gilia modocensis,,,,0.786833333,0.113326814,0.174666667,0.05502242,4.504770992
Gilia nevinii MO2397657,Gilia nevinii,1,0.955,0.238,,,,,
Gilia nevinii MO2397657,Gilia nevinii,2,0.816,0.203,,,,,
Gilia nevinii MO2397657,Gilia nevinii,3,0.877,0.239,,,,,
Gilia nevinii MO2753771,Gilia nevinii,1,0.98,0.202,,,,,
Gilia nevinii MO2754968,Gilia nevinii,1,1.079,0.202,,,,,
Gilia nevinii MO2754968,Gilia nevinii,2,1.153,0.191,,,,,
Gilia nevinii MO2754968,Gilia nevinii,3,1.046,0.184,,,,,
,Gilia nevinii,,,,0.986571429,0.116842996,0.208428571,0.021686072,4.733379027
Gilia ochroleuca RSABG777154,Gilia ochroleuca,1,0.56,0.149,,,,,
Gilia ochroleuca RSABG777154,Gilia ochroleuca,2,0.542,0.159,,,,,
Gilia ochroleuca RSABG777154,Gilia ochroleuca,3,0.462,0.124,,,,,
,Gilia ochroleuca,,,,0.521333333,0.0521664,0.144,0.018027756,3.62037037
Gilia ochroleuca ssp bizonata KANU00237707,Gilia ochroleuca ssp bizonata,1,0.898,0.36,,,,,
Gilia ochroleuca ssp bizonata KANU00237707,Gilia ochroleuca ssp bizonata,2,0.996,0.399,,,,,
Gilia ochroleuca ssp bizonata KANU00237707,Gilia ochroleuca ssp bizonata,3,1.123,0.384,,,,,
,Gilia ochroleuca ssp bizonata,,,,1.005666667,0.112811051,0.381,0.019672316,2.639545057
Gilia ochroleuca ssp exilis KANU00237709,Gilia ochroleuca ssp exilis,1,0.787,0.243,,,,,
Gilia ochroleuca ssp exilis KANU00237709,Gilia ochroleuca ssp exilis,2,0.836,0.252,,,,,
Gilia ochroleuca ssp exilis KANU00237709,Gilia ochroleuca ssp exilis,3,0.767,0.252,,,,,
,Gilia ochroleuca ssp exilis,,,,0.796666667,0.035501174,0.249,0.005196152,3.199464525
Gilia ochroleuca ssp ochroleuca MO3499713,Gilia ochroleuca ssp ochroleuca,1,0.611,0.241,,,,,
Gilia ochroleuca ssp ochroleuca MO3499713,Gilia ochroleuca ssp ochroleuca,2,0.495,0.186,,,,,
Gilia ochroleuca ssp ochroleuca MO3499713,Gilia ochroleuca ssp ochroleuca,3,0.517,0.196,,,,,
Gilia ochroleuca ssp ochroleuca MO3641433,Gilia ochroleuca ssp ochroleuca,1,0.587,0.211,,,,,
Gilia ochroleuca ssp ochroleuca MO3641433,Gilia ochroleuca ssp ochroleuca,2,0.617,0.162,,,,,
