Herbarium accession sheet,Species,Flower number,Corolla length (cm),Corolla width throat (cm),Mean corolla length (cm),Standard Deviation corolla length (cm),Mean corolla width (cm),Standard deviation  corolla width (cm),Length width ratio
Aliciella leptomeria KANU00237698,Aliciella leptomeria,1,0.508,0.083,,,,,
Aliciella leptomeria KANU00237698,Aliciella leptomeria,2,0.478,0.084,,,,,
Aliciella leptomeria KANU00237698,Aliciella leptomeria,3,0.519,0.088,,,,,
Aliciella leptomeria UF39347,Aliciella leptomeria,1,0.395,0.084,,,,,
Aliciella leptomeria UF39347,Aliciella leptomeria,2,0.45,0.084,,,,,
Aliciella leptomeria UF39347,Aliciella leptomeria,3,0.395,0.074,,,,,
,Aliciella leptomeria,,,,0.518,0.10996022,0.096333333,0.021960191,5.37716263
Aliciella lottiae KANU365724,Aliciella lottiae,1,0.639,0.154,,,,,
Aliciella lottiae KANU365724,Aliciella lottiae,2,0.616,0.103,,,,,
Aliciella lottiae KANU365724,Aliciella lottiae,3,0.653,0.128,,,,,
,Aliciella lottiae,,,,0.636,0.018681542,0.128333333,0.025501634,4.955844156
Aliciella mcvickerae KSC0126228,Aliciella mcvickerae,1,0.668,0.128,,,,,
Aliciella mcvickerae KSC0126228,Aliciella mcvickerae,2,0.71,0.144,,,,,
Aliciella mcvickerae KSC0126228,Aliciella mcvickerae,3,0.616,0.152,,,,,
,Aliciella mcvickerae,,,,0.664666667,0.047088569,0.141333333,0.012220202,4.702830189
Aliciella micromeria KANU00237702,Aliciella micromeria,1,0.202,0.038,,,,,
Aliciella micromeria KANU00237702,Aliciella micromeria,2,0.213,0.049,,,,,
Aliciella micromeria KANU00237702,Aliciella micromeria,3,0.224,0.041,,,,,
,Aliciella micromeria,,,,0.213,0.011,0.042666667,0.005686241,4.9921875
Aliciella monoensis MO3834767,Aliciella monoensis,1,0.516,0.111,,,,,
Aliciella monoensis MO3834767,Aliciella monoensis,2,0.423,0.144,,,,,
Aliciella monoensis MO3834767,Aliciella monoensis,3,0.506,0.102,,,,,
Aliciella monoensis MO5416709,Aliciella monoensis,1,0.522,0.145,,,,,
Aliciella monoensis MO5416709,Aliciella monoensis,2,0.411,0.139,,,,,
Aliciella monoensis MO5416709,Aliciella monoensis,3,0.424,0.16,,,,,
Aliciella monoensis RSABG756276,Aliciella monoensis,1,0.567,0.117,,,,,
Aliciella monoensis RSABG756276,Aliciella monoensis,2,0.759,0.11,,,,,
Aliciella monoensis RSABG756276,Aliciella monoensis,3,0.497,0.056,,,,,
Aliciella monoensis RSABG78468,Aliciella monoensis,1,0.501,0.11,,,,,
Aliciella monoensis RSABG78468,Aliciella monoensis,2,0.663,0.089,,,,,
Aliciella monoensis RSABG78468,Aliciella monoensis,3,0.5,0.112,,,,,
,Aliciella monoensis,,,,0.524083333,0.100720548,0.11625,0.028168729,4.508243728
Aliciella nyensis NYBG00964842,Aliciella nyensis,1,1.516,0.298,,,,,
Aliciella nyensis NYBG00964842,Aliciella nyensis,2,1.332,0.27,,,,,
Aliciella nyensis NYBG00964842,Aliciella nyensis,3,1.176,0.273,,,,,
Aliciella nyensis NYBG00964843,Aliciella nyensis,1,1.407,0.235,,,,,
Aliciella nyensis NYBG00964843,Aliciella nyensis,2,0.964,0.239,,,,,
Aliciella nyensis NYBG00964843,Aliciella nyensis,3,1.037,0.208,,,,,
Aliciella nyensis NYBG00964844,Aliciella nyensis,1,1.51,0.147,,,,,
Aliciella nyensis NYBG00964844,Aliciella nyensis,2,1.551,0.197,,,,,
Aliciella nyensis NYBG00964844,Aliciella nyensis,3,1.223,0.17,,,,,
Aliciella nyensis NYBG00964845,Aliciella nyensis,1,1.527,0.212,,,,,
Aliciella nyensis NYBG00964845,Aliciella nyensis,2,1.591,0.162,,,,,
Aliciella nyensis NYBG00964845,Aliciella nyensis,3,1.449,0.187,,,,,
,Aliciella nyensis,,,,1.356916667,0.210871981,0.2165,0.047530851,6.267513472
Aliciella pentstemonoides MO1718831,Aliciella pentstemonoides,1,0.685,0.145,0.685,,0.145,,4.724137931
Aliciella pinnatfida KSC0126338,Aliciella pinnatfida,1,1.209,0.248,,,,,
Aliciella pinnatfida KSC0126338,Aliciella pinnatfida,2,1.19,0.176,,,,,
Aliciella pinnatfida KSC0126338,Aliciella pinnatfida,3,1.088,0.221,,,,,
Aliciella pinnatifida KANU00237715,Aliciella pinnatifida,1,0.57,0.175,,,,,
Aliciella pinnatifida KANU00237715,Aliciella pinnatifida,2,0.612,0.142,,,,,
Aliciella pinnatifida KANU00237715,Aliciella pinnatifida,3,0.565,0.15,,,,,
Aliciella pinnatifida KANU00237717,Aliciella pinnatifida,1,0.62,0.149,,,,,
Aliciella pinnatifida KANU00237717,Aliciella pinnatifida,2,0.624,0.163,,,,,
Aliciella pinnatifida KANU00237717,Aliciella pinnatifida,3,0.666,0.196,,,,,
Aliciella pinnatifida KSC0126336,Aliciella pinnatifida,1,,,,,,,
Aliciella pinnatifida KSC0126336,Aliciella pinnatifida,2,,,,,,,
Aliciella pinnatifida KSC0126336,Aliciella pinnatifida,3,,,,,,,
,Aliciella pinnatifida,,,,0.793777778,0.279905688,0.18,0.03570014,4.409876543
Aliciella ripleyi RSABG311225,Aliciella ripleyi,1,0.907,0.291,,,,,
Aliciella ripleyi RSABG311225,Aliciella ripleyi,2,0.925,0.288,,,,,
Aliciella ripleyi RSABG311225,Aliciella ripleyi,3,0.898,0.278,,,,,
