long,lat
-118.7402,36.0438
-120.3275,39.31917
-120.2434,38.0312
-121.7,37
-122.1667,40.75
-123.55,40.85
-120.6033,38.90333
-120.201,36.7818
-122.278,40.7974
-121.2919,35.5565
-121.7146,36.3779
-123.35,41.75
-119.5483,38.3068
-121.0517,39.25396
-123.85,41.65
-123.2718,40.7485
-121.4871,37.39555
-120.3784,39.50435
-122.8055,40.6789
-120.2201,38.86165
-118.9166,37.58325
-124.0687,41.21385
-122.6667,40.7333
-121.7138,38.4906
-123.1668,41.8333
-118.4333,34.6167
-123.056,41.28996
-123.2393,39.83929
-119,37.9333
-123.3899,39.51489
-119.7853,38.33115
-119.2916,34.625
-116.5333,33.95002
-118.375,36.70835
-121.07,37.475
-123.0585,38.83996
-118.125,36.79165
-119.9254,34.73389
-123.1749,41.98645
-120.2083,38.79998
-121.18,39.705
-118.5834,34.76666
-123.4498,41.65925
-120.55,35.665
-121,38.25
-122.575,41.845
-119.6234,38.51665
-117.3395,34.28665
-118.9604,36.77763
-114.4419,50.4023
-114.2347,50.0865
-114.3957,55.26332
-114.1397,53.62819
-115.8742,52.51666
-117.1638,56.12543
-113.0987,53.92005
-114.0243,49.01115
-116.0426,50.84333
-121.3177,49.3402
-119.665,53.08
-121.3324,56.3321
-122.1751,50.80041
-123.12,59.61
-123.2054,49.94374
-123.94,49.54
-123.8562,49.51069
-120.4736,53.59444
-122.0064,54.23708
-121.3976,49.62125
-119.8664,49.09555
-122.1171,49.4068
-121.525,49.175
-121.94,49.24
-117.8504,49.28569
-118.398,51.05747
-124.2872,48.83319
-123.6171,48.56704
-125.3675,49.26528
-122.6089,49.0922
-119.8076,49.73385
-115.5743,50.29765
-123.3647,48.35765
-118.188,50.58304
-127.735,50.8604
-124.6929,49.4085
-116.5133,49.41289
-117.9636,49.20805
-98.03333,50.25
-96.17149,50.5697
-99.11815,52.9884
-97.595,54.245
-100.9129,50.91725
-101.274,53.99
-67.05334,45.6746
-64.4627,45.98335
-79.5985,43.2114
-79.1338,45.01904
-79.76308,44.86073
